country,ground_name,city,capacity,pitch_type,pitch_assist,boundary_dist,scoring,Weather & Dew
NZ,Wellington Basin,Wellington,11000,Green/Hard,Pace/Swing,70-78m,Mid Scoring,Extreme Wind
NZ,Seddon Park,Hamilton,12000,Flat,Batting,65-72m,High Scoring,Humid
Pakistan,Gaddafi Stadium,Lahore,34000,Flat,Batting,65-72m,High Scoring,Heavy Dew
Pakistan,National Stadium,Karachi,30000,Dry/Slow,Spin,68-75m,Balanced,Coastal/No Dew
Pakistan,Multan Stadium,Multan,35000,Flat/Dusty,Batting/Spin,65-70m,High Scoring,Hot/Dry
UAE,Dubai Int. Stadium,Dubai,25000,Dry/Slow,Spin/Seam,65-75m,Mid Scoring,Extreme Dew
UAE,Sheikh Zayed,Abu Dhabi,20000,Flat/Hard,Batting,70-80m,Balanced,Moderate Dew
UAE,Sharjah Stadium,Sharjah,16000,Slow/Low,Spin,60-65m,Mid Scoring,Low Dew
Sri Lanka,R. Premadasa,Colombo,35000,Slow/Spin,Spin,70-75m,Low Scoring,Humid
Sri Lanka,Galle Int.,Galle,35000,Coastal/Spin,Spin,65-70m,Low Scoring,Sea Breeze
Sri Lanka,Pallekele,Kandy,35000,Seam/Hard,Batting/Pace,65-72m,High Scoring,Humid
Sri Lanka,Rangiri Dambulla International Stadium,Dambulla,16800,Spin/Slow,Balanced,70-75m,Mid Scoring,Hot/Dry
Sri Lanka,Sinhalese Sports Club (SSC) Ground,Colombo,10000,Batting/Seam,Batting,70-75m,High Scoring,Humid
West Indies,Kensington Oval,Bridgetown,28000,Hard/Bounce,Pace,65-75m,Balanced,Windy/Coastal
West Indies,Daren Sammy,St Lucia,15000,Flat/Fast,Batting,60-68m,High Scoring,Windy
West Indies,Providence,Guyana,15000,Slow/Low,Spin,70-75m,Low Scoring,Humid
Bangladesh,Sher-e-Bangla,Dhaka,25000,Slow/Dusty,Spin,65-75m,Low Scoring,High Dew
Zimbabwe,Harare Sports,Harare,10000,Flat/True,Batting,65-70m,High Scoring,Dry/Sunny
Ireland,Malahide,Dublin,11500,Green,Seam/Swing,65-70m,Mid Scoring,Cloudy/Windy
